#{"t_start": 1681844333.6413796, "env_id": null}
r,l,t
-41.653301,38,362.103324
-40.299692,22,362.124346
-99.075259,114,362.518994
-45.505676,108,363.006304
-98.090378,145,363.531433
-39.739366,174,364.109944
-101.586548,85,364.777305
-109.162757,64,365.255255
-100.813422,45,365.298949
-105.305602,59,365.356952
-109.080229,120,365.828793
11.917313,192,366.669755
14.711142,201,367.33097
-87.267402,136,368.004947
-114.622029,73,368.623448
-109.032499,57,368.67803
-103.010677,99,369.160546
-70.337731,189,369.944158
-100.76611,22,369.966437
-104.352511,44,370.008106
-109.973858,64,370.347859
-104.806645,63,370.406094
-91.470571,100,370.857436
24.161834,201,371.558973
-9.339296,140,372.294939
-106.216364,55,372.3504
-117.8738,96,372.804214
-94.521089,111,373.330067
-76.439704,160,374.039454
-36.811835,110,374.560501
-40.481467,13,374.573687
13.899162,201,375.152761
-101.439748,40,375.760616
1.649366,196,376.487751
-70.955896,127,377.073073
-44.215746,26,377.097989
-109.359867,84,377.701103
-40.560792,11,377.712644
-90.764442,201,378.428631
1.665713,201,379.116222
-69.030199,196,379.944898
-40.626574,84,380.476286
-108.151979,100,380.568552
8.350058,201,381.341133
17.388571,201,381.932727
-72.257096,110,382.647429
-105.560857,39,383.235722
-42.156503,16,383.252119
-110.503324,98,383.828949
-78.015265,165,384.547372
-116.647086,82,384.626867
-80.498466,109,385.182211
-102.190641,22,385.20366
-88.881356,89,385.767281
-32.294565,82,386.270027
-116.750971,120,386.87348
-116.449308,93,386.967514
-101.528231,135,388.158946
-20.991818,185,388.836531
27.141372,201,389.573886
-112.679957,122,390.257387
-39.43275,62,390.323714
-96.25305,82,390.817969
8.469087,201,391.522928
-88.60641,86,392.080523
-79.346195,148,392.618132
-87.135983,191,393.294702
14.077288,201,394.060283
-105.009246,62,394.557796
-105.685953,56,394.611224
-64.842402,184,395.148055
-104.734942,90,395.853819
-82.21533,176,396.541744
-109.368863,180,397.26107
-1.014626,201,397.928546
-37.373468,60,398.006538
-39.165112,132,398.563685
48.453713,201,399.24829
